host,network_named,first_non_evm_day,last_non_evm_day,non_evm_days,window_days,every_day_of_window,pay_to,asset,amount,probe
api.deepnets.ai,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,Bn7sLNmcL9ru5kt9gNwVn8e8Sx912dBTxiUBNiwjbiY8,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10000,ok
api.solenrich.com,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,66Qvhr1xnwqbCT36KfHfZF1JpoWdmCQ3uFYTN335CGXe,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3000,ok
api.suverse.io,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,CBYMYxfMGdA98qkzrYqTzTiQhP3H2scU95EB4ZxoRxuM,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,20000,ok
aviationapis.com,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,37,39,False,HJfYcc2XtmrLgr4kze6kdp1JNHsqrdfJiHucpKNQaoJe,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10000,ok
glim.sh,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,9MkM5Ra48KFcSv9HDQ8sb3C3r5HjouEwGQ6sp1cx1vde,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2000,ok
intel.twzrd.xyz,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-09-07,2026-09-15,9,39,False,GFpLvocNdEjnSsLH3VJQL6wGcjGxTbUBrj6fqN3Qe1Gs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,50000,ok
lst-health.naber-research.com,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,HFWs4p4n9vGDRRpnxtsTATsnvoaub5tu76VUaLeExyfH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10000,ok
palmyr.ai,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,GqSs5L9aPWGJwyRQe35YKQaWMDPh3R1dMqfSEPhSgkM,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,ok
scry.solanahub.de,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,CTKigV78yuErumvqm7Qor8j1hMK2oxNxdhwpVrAKV85d,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,50000,ok
sol.phoneagent.xyz,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-09,2026-09-15,38,39,False,33Bxr8iF9ptUyh9PghSywfWVcKz4VWiHGLnkkLg79LtA,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,190000,ok
three.ws,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-09-11,2026-09-15,5,39,False,wwwwwDxFWRn7grgr3Esrsg5C6NvDoDHSA4gaCffccrU,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1000,ok
vibes-coded.com,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,FmC5pYspDdjBntYdyjcahAHd3zAYj3ucx1dgoGs6LjMB,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1000000,ok
x402.midnight-compliance.com,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,5Djv3x5iciCsjgFU6Co786VDvA94X2YYjs14Mh8ffkNs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3000000,ok
x402.nichospt.net,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,37,39,False,HJfYcc2XtmrLgr4kze6kdp1JNHsqrdfJiHucpKNQaoJe,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10000,ok
x402.ochinimus.app,solana:5eykt4UsFv8P8NJdTREpY1vzqKqZKvdp,2026-08-08,2026-09-15,39,39,True,4a8o45skRPcyjAdyR8yES215Swvh8uTpZD6KLarhxCJ7,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,10000,ok
