"day","host","state","share_402"
"2026-08-09","api.onesource.io","all_402",1
"2026-08-10","api.onesource.io","mixed",0.9636
"2026-08-11","api.onesource.io","all_402",1
"2026-08-12","api.onesource.io","mixed",0.9965
"2026-08-13","api.onesource.io","all_402",1
"2026-08-14","api.onesource.io","mixed",0.9809
"2026-08-15","api.onesource.io","all_402",1
"2026-08-16","api.onesource.io","all_402",1
"2026-08-17","api.onesource.io","mixed",0.9983
"2026-08-18","api.onesource.io","mixed",0.9987
"2026-08-19","api.onesource.io","mixed",0.9967
"2026-08-20","api.onesource.io","mixed",0.9935
"2026-08-21","api.onesource.io","mixed",0.9983
"2026-08-22","api.onesource.io","all_402",1
"2026-08-23","api.onesource.io","all_402",1
"2026-08-24","api.onesource.io","all_402",1
"2026-08-25","api.onesource.io","mixed",0.9994
"2026-08-26","api.onesource.io","all_402",1
"2026-08-27","api.onesource.io","mixed",0.9971
"2026-08-28","api.onesource.io","all_402",1
"2026-08-29","api.onesource.io","all_402",1
"2026-08-30","api.onesource.io","all_402",1
"2026-08-31","api.onesource.io","mixed",0.9994
"2026-09-01","api.onesource.io","all_402",1
"2026-09-02","api.onesource.io","all_402",1
"2026-09-03","api.onesource.io","all_402",1
"2026-09-04","api.onesource.io","mixed",0.9991
"2026-09-05","api.onesource.io","all_402",1
"2026-09-06","api.onesource.io","all_402",1
"2026-09-07","api.onesource.io","all_402",1
