"day","host","state","share_402"
"2026-08-08","api.osf-master-server.com","mixed",0.9178
"2026-08-09","api.osf-master-server.com","mixed",0.8787
"2026-08-10","api.osf-master-server.com","mixed",0.9377
"2026-08-11","api.osf-master-server.com","mixed",0.7647
"2026-08-12","api.osf-master-server.com","mixed",0.6871
"2026-08-13","api.osf-master-server.com","mixed",0.6628
"2026-08-14","api.osf-master-server.com","mixed",0.5468
"2026-08-15","api.osf-master-server.com","mixed",0.5383
"2026-08-16","api.osf-master-server.com","mixed",0.5497
"2026-08-17","api.osf-master-server.com","mixed",0.5612
"2026-08-18","api.osf-master-server.com","mixed",0.4967
"2026-08-19","api.osf-master-server.com","mixed",0.4695
"2026-08-20","api.osf-master-server.com","mixed",0.5947
"2026-08-21","api.osf-master-server.com","mixed",0.7733
"2026-08-22","api.osf-master-server.com","mixed",0.6526
"2026-08-23","api.osf-master-server.com","mixed",0.6659
"2026-08-24","api.osf-master-server.com","mixed",0.7018
"2026-08-25","api.osf-master-server.com","mixed",0.7494
"2026-08-26","api.osf-master-server.com","mixed",0.3255
"2026-08-27","api.osf-master-server.com","all_fail",0
"2026-08-28","api.osf-master-server.com","all_fail",0
"2026-08-29","api.osf-master-server.com","all_fail",0
"2026-08-30","api.osf-master-server.com","all_fail",0
"2026-08-31","api.osf-master-server.com","all_fail",0
"2026-09-01","api.osf-master-server.com","all_fail",0
"2026-09-02","api.osf-master-server.com","all_fail",0
"2026-09-03","api.osf-master-server.com","all_fail",0
"2026-09-04","api.osf-master-server.com","all_fail",0
"2026-09-05","api.osf-master-server.com","all_fail",0
"2026-09-06","api.osf-master-server.com","all_fail",0
"2026-09-07","api.osf-master-server.com","all_fail",0
