day,host,passes,probes,probes_429,share_old,share_429_neutral
2026-08-08,api.osf-master-server.com,346,377,31,0.9178,1
2026-08-09,api.osf-master-server.com,297,338,41,0.8787,1
2026-08-10,api.osf-master-server.com,316,337,21,0.9377,1
2026-08-11,api.osf-master-server.com,520,680,158,0.7647,0.9962
2026-08-12,api.osf-master-server.com,470,684,213,0.6871,0.9979
2026-08-13,api.osf-master-server.com,397,599,199,0.6628,0.9925
2026-08-14,api.osf-master-server.com,339,620,273,0.5468,0.9769
2026-08-15,api.osf-master-server.com,330,613,283,0.5383,1
2026-08-16,api.osf-master-server.com,332,604,272,0.5497,1
2026-08-17,api.osf-master-server.com,330,588,245,0.5612,0.9621
2026-08-18,api.osf-master-server.com,228,459,231,0.4967,1
2026-08-19,api.osf-master-server.com,146,311,164,0.4695,0.9932
2026-08-20,api.osf-master-server.com,292,491,189,0.5947,0.9669
2026-08-21,api.osf-master-server.com,290,375,84,0.7733,0.9966
2026-08-22,api.osf-master-server.com,310,475,165,0.6526,1
2026-08-23,api.osf-master-server.com,307,461,153,0.6659,0.9968
2026-08-24,api.osf-master-server.com,306,436,130,0.7018,1
2026-08-25,api.osf-master-server.com,296,395,99,0.7494,1
2026-08-26,api.osf-master-server.com,181,556,57,0.3255,0.3627
2026-08-27,api.osf-master-server.com,0,73,0,0,0
2026-08-28,api.osf-master-server.com,0,77,0,0,0
2026-08-29,api.osf-master-server.com,0,72,0,0,0
2026-08-30,api.osf-master-server.com,0,72,0,0,0
2026-08-31,api.osf-master-server.com,0,72,0,0,0
2026-09-01,api.osf-master-server.com,0,78,0,0,0
2026-09-02,api.osf-master-server.com,0,74,0,0,0
2026-09-03,api.osf-master-server.com,0,76,0,0,0
2026-09-04,api.osf-master-server.com,0,78,0,0,0
2026-09-05,api.osf-master-server.com,0,160,0,0,0
2026-09-06,api.osf-master-server.com,0,212,0,0,0
2026-09-07,api.osf-master-server.com,0,124,0,0,0
