"day","host","pass_402","f502","f503","f410","f404","timeout","probes"
"2026-08-08","binance-crypto-24h-stats.hergertsynthora.com",0,64,0,0,0,0,64
"2026-08-09","binance-crypto-24h-stats.hergertsynthora.com",0,57,0,0,0,0,57
"2026-08-10","binance-crypto-24h-stats.hergertsynthora.com",0,56,0,0,0,0,56
"2026-08-11","binance-crypto-24h-stats.hergertsynthora.com",35,155,0,0,0,0,190
"2026-08-12","binance-crypto-24h-stats.hergertsynthora.com",80,0,0,0,0,1,81
"2026-08-13","binance-crypto-24h-stats.hergertsynthora.com",71,0,0,0,0,,71
"2026-08-14","binance-crypto-24h-stats.hergertsynthora.com",66,0,0,0,0,,66
"2026-08-15","binance-crypto-24h-stats.hergertsynthora.com",64,0,0,0,0,,64
"2026-08-16","binance-crypto-24h-stats.hergertsynthora.com",63,0,0,0,0,,63
"2026-08-17","binance-crypto-24h-stats.hergertsynthora.com",58,0,0,0,0,,58
"2026-08-18","binance-crypto-24h-stats.hergertsynthora.com",38,0,0,0,0,,38
"2026-08-19","binance-crypto-24h-stats.hergertsynthora.com",23,0,0,0,0,,23
"2026-08-20","binance-crypto-24h-stats.hergertsynthora.com",52,0,0,0,0,,52
"2026-08-21","binance-crypto-24h-stats.hergertsynthora.com",54,0,0,0,0,,54
"2026-08-22","binance-crypto-24h-stats.hergertsynthora.com",55,0,0,0,0,,55
"2026-08-23","binance-crypto-24h-stats.hergertsynthora.com",53,0,0,0,0,,53
"2026-08-24","binance-crypto-24h-stats.hergertsynthora.com",55,0,0,0,0,0,56
"2026-08-25","binance-crypto-24h-stats.hergertsynthora.com",33,53,0,0,0,0,86
"2026-08-26","binance-crypto-24h-stats.hergertsynthora.com",0,12,0,0,0,0,12
"2026-08-27","binance-crypto-24h-stats.hergertsynthora.com",0,10,0,2,0,0,12
"2026-08-28","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,13,0,0,13
"2026-08-29","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,12,0,0,12
"2026-08-30","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,12,0,0,12
"2026-08-31","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,12,0,0,12
"2026-09-01","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,13,0,0,13
"2026-09-02","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,13,0,0,13
"2026-09-03","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,12,0,0,12
"2026-09-04","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,13,0,0,13
"2026-09-05","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,13,0,0,13
"2026-09-06","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,11,0,0,11
"2026-09-07","binance-crypto-24h-stats.hergertsynthora.com",0,0,0,10,0,0,10
"2026-08-08","binance-ticker24.hergertsynthora.com",63,0,0,0,0,,63
"2026-08-09","binance-ticker24.hergertsynthora.com",57,0,0,0,0,,57
"2026-08-10","binance-ticker24.hergertsynthora.com",56,0,0,0,0,,56
"2026-08-11","binance-ticker24.hergertsynthora.com",95,0,0,0,0,,95
"2026-08-12","binance-ticker24.hergertsynthora.com",80,0,0,0,0,,80
"2026-08-13","binance-ticker24.hergertsynthora.com",71,0,0,0,0,,71
"2026-08-14","binance-ticker24.hergertsynthora.com",66,0,0,0,0,,66
"2026-08-15","binance-ticker24.hergertsynthora.com",64,0,0,0,0,,64
"2026-08-16","binance-ticker24.hergertsynthora.com",63,0,0,0,0,,63
"2026-08-17","binance-ticker24.hergertsynthora.com",58,0,0,0,0,,58
